# DECISIONS: include | maybe | exclude,,,,,,
# EXCLUSION REASONS: population (not consciousness-relevant) ; exposure (no quantitative complexity measure) ; data (no neural recording) ; publication-type (editorial/protocol/non-study) ; not-retrievable ; other,,,,,,
# Screen BLIND to Elicit. Fill my_decision for every row; add my_primary_exclusion_reason only when excluding.,,,,,,
pmid,title,journal,year,abstract,my_decision,my_primary_exclusion_reason
8268440,The anesthetic management of a patient with a thoracic aortic aneurysm that caused compression of the left mainstem bronchus and the right pulmonary artery.,Journal of cardiothoracic and vascular anesthesia,1993,"Manually rerieved abstract: COMPRESSION OF THE trachea, bronchi, and pulmonary arteries is well-known, although uncommon, complication of a thoracic aortic aneurysm.1-4 A 26-year-old man with thoracic aortic aneurysm that caused left bronchial and right pulmonary arterial compression resulting in respiratory insufficiency was recently analyzed. This report describes the problems, especially airway maintenance.",exclude,"No consciousness relevance, no complexity measures and no neural data"
8996512,Parallel antioxidant and antiexcitotoxic therapy improves outcome after incomplete global cerebral ischemia in dogs.,Stroke,1997,"BACKGROUND AND PURPOSE: We have previously shown that incomplete global cerebral ischemia complicated by dense acidosis produces a profound secondary deterioration of energy metabolism and cerebral blood flow. Antioxidant treatment only partially averts this deterioration, suggesting that parallel or sequential mechanisms are involved in cerebral ischemic injury. We tested the hypothesis that a novel competitive N-methyl-D-aspartate (NMDA) receptor antagonist GPI 3000 (GPI) ameliorates metabolic injury and that the effectiveness of the iron-chelator and antioxidant deferoxamine (DFO) is augmented by combined therapy with GPI after incomplete global cerebral ischemia. METHODS: Anesthetized dogs were treated with 30 minutes of global incomplete cerebral ischemia. Preischemic plasma glucose was raised to approximately 500 mg/dL to exaggerate lactic acidosis. Brain ATP, phosphocreatine, and pH were measured by 31P MR spectroscopy for 180 minutes of reperfusion. Neurophysiological outcomes were assessed by evoked potential monitoring. Five groups were treated with either saline; 75 mg/kg DFO preischemia plus 75 mg/kg at reperfusion onset, followed by 27.5 mg/kg per hour for the remainder of reperfusion (DFO group); 25 mg/kg GPI pretreatment, followed by 5 mg/kg per hour (GPI-pre group); 25 mg/kg GPI at reperfusion, followed by 5 mg/kg per hour (GPI-post group); or DFO and GPI-pre at the same doses (Combined group). RESULTS: Ischemic cerebral blood flow (microspheres: 5 to 8 mL/min per 100 g) was similar among the groups. End-ischemic pHi was also similar; 5.9 in saline, 6.1 in DFO, 6.2 in GPI-pre, 6.2 in Combined, and 6.1 in GPI-post groups. Progressive hypoperfusion was observed in all groups except Combined during reperfusion. Metabolic recovery was improved relative to saline in all drug-treated groups. Phosphocreatine recovery was improved in Combined compared with DFO and GPI-pre groups. Somatosensory evoked potential recovery was not observed in the saline group and incomplete in all treatment groups. At 60 and 90 minutes of reperfusion, DFO, GPI-pre, and Combined groups demonstrated improved recovery relative to the saline group. CONCLUSIONS: Pretreatment and posttreatment with GPI ameliorated postischemic metabolic failure, suggesting that NMDA-mediated mechanisms are more important in global cerebral ischemia complicated by dense, acidosis than early studies indicated. Combined treatment with GPI and DFO improved cerebral blood flow during reperfusion and one indicator of energy recovery. These data support the hypothesis that parallel therapy aimed at antioxidant and antiexcitotoxic mechanisms of ischemic brain injury augment recovery compared with the individual agents.",exclude,No consciousness relevance or complexity measure.
9457694,Iterative function system and genetic algorithm-based EEG compression.,Medical engineering & physics,1997,"A method for EEG compression is proposed, using Iterative Function System (IFS) and Genetic Algorithms (GAs) with elitist model, keeping the quality sufficiently good for clinical purposes. Compression using IFS is usually called fractal compression. The self transformability property of the EEG signals is assumed and is exploited in the fractal compression technique. To ascertain the self transformability of the EEG signal, some isometric transformations have been applied. The technique described here utilizes Genetic Algorithm that decreases the search space for finding the self similarities in the given signal. This article presents theory and implementation of the proposed method. The fidelity of the reconstructed signal obtained by the present compression algorithm has been assessed both qualitatively and quantitatively. The compression ratios, for the EEG signals in various states, are found to be comparable to the other available techniques for EEG compression. In our method at least 85% data reduction has been achieved.",exclude,No consciousness relevance or complexity measure.
9480407,[Contribution of non-linear mathematics (chaos theory) to EEG analysis].,Neurophysiologie clinique = Clinical neurophysiology,1997,"Since 1963, nonlinear dynamics or ""chaos theory"" were widely used in various area of physics. The first application to the analysis of the human electroencephalogram (EEG) was performed in 1985. A tutorial revue of some concepts of nonlinear dynamics is presented with the various results obtained since 1985. The dimensional complexity of the EEG (DC) seems a good descriptor of the ""desynchronisation"" or decorrelation of the EEG: DC is high with eyes open, during a mental task and also during a tonic epileptic discharge. DC is low with eyes closed, during slow wave sleep, and during a clonic epileptic discharge. The measure of DC could allow a more objective comparison between various states of electrical cerebral activity.",maybe,
9633740,Spontaneous intracranial hypotension resulting in stupor caused by diencephalic compression.,Neurology,1998,"A 51-year-old man had a 4-month history of progressive headache and gradual onset of somnolence. MRI suggested spontaneous intracranial hypotension (SIH) with diencephalic compression, but he did not improve after three epidural blood patches. He became alert following intrathecal saline infusion that normalized his CSF pressure. A CSF leak was noted on spinal MRI and confirmed with CT contrast myelography. Surgical ligation of a torn dural root sleeve isolating a ruptured Tarlov's cyst resulted in permanent cure.",exclude,"No consciousness relevance, no complexity measures and no neural data"
10193613,How should a subarachnoid hemorrhage grading scale be determined? A combinatorial approach based solely on the Glasgow Coma Scale.,Journal of neurosurgery,1999,"OBJECT: The purpose of this study was to present a combinatorial approach used to develop a subarachnoid hemorrhage (SAH) grading scale based on the patient's preoperative Glasgow Coma Scale (GCS) score. METHODS: There are 4094 different combinations that can be used to compress the 13 scores of the GCS into two to 12 grades. Break points, the positions in the scale in which two adjacent scores connote a significantly different outcome, are obtained by a direct comparison of the GCS and the Glasgow Outcome Scale (GOS). Guided by the break points, the number of combinations to be considered can be limited. All possible combinations are statistically analyzed with respect to intergrade differences in outcome. Single combinations, with the maximum number of grades having maximum intergrade outcome differences for each corresponding set of adjacent grades, must be selected. The authors verified the validity of this combinatorial approach by retrospectively analyzing 1398 consecutive patients with aneurysmal SAH who underwent surgery within 7 days of the last hemorrhage episode. The patients' GCS scores were assessed just before surgery and their GOS scores were estimated 6 months post-SAH. The combinatorial approach yields only one acceptable grading scale: I (GCS Score 15); II (GCS Scores 11-14); III (GCS Scores 8-10); IV (GCS Scores 4-7); and V (GCS Score 3). CONCLUSIONS: The combinatorial approach, guided by the break points, is so simple and systematic that it can be used again in the future when revision of the grading scale becomes necessary after development of new and effective treatment modalities that improve patients' overall outcome.",exclude,"No consciousness relevance, no complexity measures and no neural data"
11174689,Response of muscle proprioceptors to spinal manipulative-like loads in the anesthetized cat.,Journal of manipulative and physiological therapeutics,2001,"OBJECTIVE: The mechanisms underlying the benefits of spinal manipulation are not well understood. Neurophysiological mechanisms likely mediate its effects, at least in part, yet we know little about how the nervous system is affected by spinal manipulation. The purpose of the present study was to determine whether muscle spindles and Golgi tendon organs in paraspinal muscles respond to a mechanical load whose force-time profile is similar to that of a spinal manipulation. METHODS: Experiments were performed on 10 anesthetized adult cats. The L6 dorsal root was isolated for electrophysiological recordings while the L6-L7 vertebrae and associated paraspinal tissues on one side of the vertebral column were left intact. Single unit recordings were obtained from 5 muscle spindles, 4 Golgi tendon organs, and 1 presumed Pacinian corpuscle afferent with receptive fields in paraspinal muscles. Loads were applied at the spinous process of the L6 vertebra through use of an electronic feedback control system. The load simulated the force-time profile of a spinal manipulation. Loads were applied in compressive and distractive directions and at 2 different angles (0 degrees and 45 degrees) with respect to the long axis of the vertebral column. RESULTS: Golgi tendon organ afferent discharge frequency increased more to the impulse than to the preload during 13 of 15 spinal manipulations. Generally, the 4 Golgi tendon organ afferents became silent immediately at the end of each impulse. Similarly, muscle spindle discharge frequency increased more to the impulse than to the preload during 10 of 16 manipulations. Distractive manipulations loaded the spindles more effectively than compressive manipulations. After 7 of these 10 manipulations, muscle spindles became silent for 1.3 +/- 0.6 seconds (range, 0.1-4.3 seconds). Six of the 16 manipulations unloaded the muscle spindles. A presumed Pacinian corpuscle responded to the impulse of a manipulative-like load but not to loads with a slower force-time profile. CONCLUSION: The data suggest that the high-velocity, short-duration load delivered during the impulse of a spinal manipulation can stimulate muscle spindles and Golgi tendon organs more than the preload. The physiologically relevant portion of the manipulation may relate to its ability to increase as well as decrease the discharge of muscle proprioceptors. In addition, the preload, even in the absence of the impulse, can change the discharge of paraspinal muscle spindles. Loading of the vertebral column during a sham manipulation may affect the discharge of paraspinal proprioceptors.",exclude,No consciousness relevance or complexity measure.
11512368,Computed tomography-guided percutaneous transpedicular biopsy of the thoracic spine.,Chang Gung medical journal,2001,"BACKGROUND: Despite the recent, widespread use around the world of computed tomography (CT)-guided spinal biopsy for presurgical evaluation, its use has remained uncommon in Taiwan. Using 9 patients, we attempted to evaluate the safety of its use for the thoracic spine biopsy. METHODS: In the past 3 years (May 1996 to May 1999), 9 patients with known thoracic or multiple spinal lesions underwent CT-guided biopsy. The patients comprised 4 men and 5 women; with ages ranging between 28 and 85 years. For the transpedicular approach, patients were laid prone on the CT table. A trephine bone biopsy needle set was used after local anaesthesia. The specimens obtained had tissue pathology and/or bacterial/tuberculosis (TB) culture. RESULTS: Excellent results were achieved in 8 of the 9 patients, with no significant procedure-related complications. Among them, 2 were diagnosed as metastatic carcinomas; 3 as osteoporotic compression fractures; 2 were proved to be bacterial or tuberculosis spondylitis and the last one was a healing fracture. CONCLUSION: CT-guided transpedicular trephine biopsy of the thoracic spine is a safe and effective method for preoperative evaluation of various thoracic spinal disorders. Based on the biopsy results, more effective treatment regimens were prescribed and, in turn, better outcomes were expected.",exclude,"No consciousness relevance, no complexity measures and no neural data"
11721988,Neural net classification of REM sleep based on spectral measures as compared to nonlinear measures.,Biological cybernetics,2001,"In various studies the implementation of nonlinear and nonconventional measures has significantly improved EEG (electroencephalogram) analyses as compared to using conventional parameters alone. A neural network algorithm well approved in our laboratory for the automatic recognition of rapid eye movement (REM) sleep was investigated in this regard. Originally based on a broad range of spectral power inputs, we additionally supplied the nonlinear measures of the largest Lyapunov exponent and correlation dimension as well as the nonconventional stochastic measures of spectral entropy and entropy of amplitudes. No improvement in the detection of REM sleep could be achieved by the inclusion of the new measures. The accuracy of the classification was significantly worse, however, when supplied with these variables alone. In view of results demonstrating the efficiency of nonconventional measures in EEG analysis, the benefit appears to depend on the nature of the problem.",include,
11811170,Is magnetic resonance imaging indicated before reduction of a unilateral cervical facet dislocation?,Spine,2002,No abstract,,
12542680,Attention-dependent coupling between beta activities recorded in the cat's thalamic and cortical representations of the central visual field.,The European journal of neuroscience,2003,"We have previously proposed that enhanced 16-24 Hz (beta) local field potential activity in the primary visual cortex and lateral geniculate nucleus may be an electrophysiological correlate of the attentional mechanism that increases the gain of afferent visual information flow to the cortex. In this study, we measured coupling between beta signals recorded in the thalamic (i.e. lateral geniculate or perigeniculate) and cortical representations of the central visual field (within 5 degrees from area centralis), during visual and auditory attentive situations. Signal coupling was calculated in two ways: (i) by means of crosscorrelation between raw beta activities, which depends primarily on phase coherence, and (ii) by phase-independent crosscorrelation between amplitude envelopes of beta activities. Mean amplitudes of raw signal cross correlations obtained for thalamo-cortical recording pairs were not significantly different when calculated during behavioural demands for either visual or auditory attention. In contrast, amplitudes of envelope cross correlations obtained during behaviour requiring visual attention were, on average, two times higher than those calculated during the auditory task. This attention-related coupling emerged from synchronized amplitude modulation of beta oscillatory activity that occurs within the cortico-thalamic circuit involved in central vision.",maybe,
12754840,[Sleep EEG as a nonlinear dynamic process: a comparison of global correlation dimension of human EEG and measures of linear interdependence between channels].,Zhurnal vysshei nervnoi deiatelnosti imeni I P Pavlova,2003,"The goal of this work was to study (1) whether the estimation of correlation dimension (D2) using spatial embedding distinguishes between sleep stages and (2) whether information gained from the application of global D2 is redundant to measures of linear interdependence between channels. Twenty one-channel EEG segments of 12 healthy male subjects recorded during waking and sleep stages REM, I, II, and III-IV (according to the Rechtshaffen and Kales criteria) were analyzed with global (multichannel) D2, mean square correlation coefficients (MS) and proportion of variance accounted for by the first principal component (PC1). D2 was found to decrease progressively from stage I to stage III-IV with D2 values of waking and REM being close to those of stages I and II. MS and PC1 did not distinguish among sleep stages but yielded significant differences between waking and sleep. The results suggest that global D2 extracts information from human EEG. That sort of evidence cannot be obtained with measures of linear interdependence between channels.",include,
12791444,Is synchronized neuronal gamma activity relevant for selective attention?,Brain research. Brain research reviews,2003,"Today, much evidence exists that sensory feature binding is accomplished by phase synchronization of induced neuronal gamma activity (30-80 Hz). Recent studies furthermore suggest that phase synchronization of induced gamma activity may represent a general mechanism enabling transient associations of neural assemblies and thus may play a central role in cortical information processing. Here, we describe findings indicating that synchronized gamma activity is moreover specifically involved in selective attention. While feature binding appears to depend primarily on induced gamma synchronization, attentional processes seem to involve both induced and evoked gamma oscillations. Yet it is still an open question, as to which top-down and bottom-up processes are associated with attentional modulation of gamma activity. A possible mechanism to project influences from attentional control structures to areas concerned with stimulus representation and vice versa, may be neuronal synchronization and the resulting firing rate changes of coincidence-detecting neurons in target areas.",maybe,
12842864,Circadian clock resetting by arousal in Syrian hamsters: the role of stress and activity.,"American journal of physiology. Regulatory, integrative and comparative physiology",2003,"Circadian rhythms in the Syrian hamster can be markedly phase shifted by 3 h of wheel running or arousal stimulation during their usual daily rest period (""subjective day""). Continuous wheel running is predictive but not necessary for phase shifts of this ""nonphotic"" type; hamsters aroused by gentle handling without running can also show maximal shifts. By contrast, physical restraint, a standard stress procedure and thus presumably arousing, is ineffective. To resolve this apparent paradox, phase-shifting effects of 3-h sessions of restraint or other stress procedures were assessed. In a preliminary study, phase shifts to arousal by gentle handling were significantly potentiated by the cortisol synthesis inhibitor metyrapone, suggesting that stress-related cortisol release may inhibit phase shifts to arousal. Next, it was confirmed that restraint in the subjective day does not induce phase shifts, but behavioral observations revealed that it also does not sustain arousal. Restraint combined with noxious compressed air blasts did sustain arousal and induced a significant cortisol response compared with arousal by gentle handling but did not induce shifts. Restraint combined with continuous horizontal rotation was also ineffective, as was EEG-validated arousal via confinement to a pedestal over water. However, 3 h of resident-intruder interactions (an intense psychosocial stress) or exposure to an open field (a mild stress) did induce large shifts that were positively correlated with indexes of forward locomotion. The results indicate that large phase shifts associated with arousal in the usual sleep period are neither induced nor prevented by stress per se, but are dependent on the expression of at least low levels of locomotor activity. Sustained arousal alone is not sufficient.",exclude,No complexity measures and no neural data (only uses EEG to validate arousal state)
15082141,Spinal cord lesion after long-term intrathecal clonidine and bupivacaine treatment for the management of intractable pain.,Pain,2004,"Long-term intrathecal drug administration using implanted pumps is increasingly used in the treatment of chronic refractory pain [Anderson and Burchiel 1999, Neurosurgery 44 (1999) 289; Krames 2002, Best Pract Res Clin Anaesthesiol 16 (2002) 619; Wallace 2002, Neurology 59 (2002) S18]. Extensive clinical experience over the last 15 years suggests that in selected cases the technique is safe, although infections, system malfunction and drug-related complications have been reported. In most cases, drug-related spinal cord injuries have resulted from the compression of a spinal inflammatory mass or abcess rather than from a direct neurotoxic effect. We report on a case of toxic spinal cord lesion occurring after more than 3 years of uneventful continuous infusion of a mixture of bupivacaine and clonidine.",exclude,"No consciousness relevance, no complexity measures and no neural data"
15134712,Pathological theta oscillations in idiopathic generalised epilepsy.,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,2004,"OBJECTIVE: To investigate spectral power, inter- and intra-hemispheric coherence in the interictal scalp electroencephalography (EEG) of 41 patients with idiopathic generalised epilepsy. METHODS: Two minutes of eyes-closed waking interictal EEG activity was analysed. Fast Fourier transformation was performed. Raw and age-regressed, Z-transformed values were computed for 19 electrodes and 4 frequency bands: absolute power (AP, ZAP), percent power (RP, ZRP), band mean frequency (MF, ZMF), inter-hemispheric (CO, ZCO) and intra-hemispheric (IC, ZIC) coherence. Compressed values (scalp averages) were computed for each parameter and 4 frequency bands. Compressed data of the patients (GE group) and the healthy controls (C group) were compared. RESULTS: ZAP across the entire 1.5-25.0 Hz range was greater in the GE than in the C group. Delta and theta ZRP was greater, alpha ZRP was less in GE than in C. ZMF and ZIC was about the same in the GE and C groups. The crucial, band-specific finding was significantly greater theta-ZCO in the GE group, in contrast to normal or decreased ZCO in the other bands. In addition, within-group correlation between ZAP of the frequency bands, correlation of ZAP and ZCO, correlation of ZIC and ZCO were different for the two groups. CONCLUSIONS: The pattern of enhanced ZAP, ZRP, ZCO, together with normal ZIC and ZMF in the theta range was a peculiar, novel finding in GE. It was incompatible with any of the known patterns of altered power and coherence due to lesional or metabolic aetiology. This pattern presumably indicates the presence of a powerful, diffuse, hypersynchronous, hypercoherent theta oscillation at the thalamo-cortical level of the brain. The role of inter-hemispheric connections in maintaining this oscillation was suggested. The other findings suggest disturbed central regulation of EEG power and coherence in the interictal state.",exclude,No consciousness relevance
